uf;municipio;evento;data_referencia;agente;arma;faixa_etaria;feminino;masculino;nao_informado;total_vitima;total;total_peso;abrangencia;formulario
SP;ANDRADINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ANGATUBA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ANHEMBI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ANHUMAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;APARECIDA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;APARECIDA D'OESTE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;APIAÍ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARAÇARIGUAMA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARAÇATUBA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARAÇOIABA DA SERRA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARAMINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARANDU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARAPEÍ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARARAQUARA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARARAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARCO-ÍRIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AREALVA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AREIAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AREIÓPOLIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARIRANHA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARTUR NOGUEIRA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ARUJÁ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ASPÁSIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ASSIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ATIBAIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AURIFLAMA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AVAÍ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AVANHANDAVA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;AVARÉ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BADY BASSITT;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BALBINOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BÁLSAMO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BANANAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARÃO DE ANTONINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARBOSA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARIRI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARRA BONITA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARRA DO CHAPÉU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARRA DO TURVO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARRETOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARRINHA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BARUERI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BASTOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BATATAIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BAURU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BEBEDOURO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BENTO DE ABREU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BERNARDINO DE CAMPOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BERTIOGA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BILAC;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BIRIGUI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BIRITIBA MIRIM;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOA ESPERANÇA DO SUL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOCAINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOFETE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOITUVA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOM JESUS DOS PERDÕES;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOM SUCESSO DE ITARARÉ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BORÁ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BORACÉIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BORBOREMA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOREBI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BOTUCATU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BRAGANÇA PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BRAÚNA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BREJO ALEGRE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BRODOWSKI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BROTAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BURI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BURITAMA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;BURITIZAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CABRÁLIA PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CABREÚVA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAÇAPAVA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CACHOEIRA PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CACONDE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAFELÂNDIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAIABU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAIEIRAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAIUÁ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAJAMAR;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAJATI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAJOBI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAJURU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAMPINA DO MONTE ALEGRE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAMPINAS;Feminicídio;01/01/25;;;;1;0;0;1;;;Estadual;Formulário 1
SP;CAMPO LIMPO PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAMPOS DO JORDÃO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAMPOS NOVOS PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CANANÉIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CANAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CÂNDIDO MOTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CÂNDIDO RODRIGUES;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CANITAR;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAPÃO BONITO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAPELA DO ALTO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CAPIVARI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CARAGUATATUBA;Feminicídio;01/01/25;;;;1;0;0;1;;;Estadual;Formulário 1
SP;CARAPICUÍBA;Feminicídio;01/01/25;;;;1;0;0;1;;;Estadual;Formulário 1
SP;CARDOSO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CASA BRANCA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CÁSSIA DOS COQUEIROS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CASTILHO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CATANDUVA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CATIGUÁ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CEDRAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CERQUEIRA CÉSAR;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CERQUILHO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CESÁRIO LANGE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CHARQUEADA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CHAVANTES;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CLEMENTINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;COLINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;COLÔMBIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CONCHAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CONCHAS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CORDEIRÓPOLIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;COROADOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CORONEL MACEDO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CORUMBATAÍ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;COSMÓPOLIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;COSMORAMA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;COTIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CRAVINHOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CRISTAIS PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CRUZÁLIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CRUZEIRO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CUBATÃO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;CUNHA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DESCALVADO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DIADEMA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DIRCE REIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DIVINOLÂNDIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DOBRADA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DOIS CÓRREGOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DOLCINÓPOLIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DOURADO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DRACENA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DUARTINA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;DUMONT;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ECHAPORÃ;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ELDORADO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ELIAS FAUSTO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ELISIÁRIO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;EMBAÚBA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;EMBU DAS ARTES;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;EMBU-GUAÇU;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;EMILIANÓPOLIS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ENGENHEIRO COELHO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ESPÍRITO SANTO DO PINHAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ESPÍRITO SANTO DO TURVO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ESTIVA GERBI;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ESTRELA DO NORTE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;ESTRELA D'OESTE;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;EUCLIDES DA CUNHA PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FARTURA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FERNANDO PRESTES;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FERNANDÓPOLIS;Feminicídio;01/01/25;;;;1;0;0;1;;;Estadual;Formulário 1
SP;FERNÃO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FERRAZ DE VASCONCELOS;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FLORA RICA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FLOREAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FLÓRIDA PAULISTA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FLORÍNEA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FRANCA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FRANCISCO MORATO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;FRANCO DA ROCHA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;GABRIEL MONTEIRO;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;GÁLIA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;GARÇA;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
SP;GASTÃO VIDIGAL;Feminicídio;01/01/25;;;;0;0;0;0;;;Estadual;Formulário 1
